doubling every two days;doubling every 4 days;doubling every 10 days;Italy;India;Germany;US;Spain;date
100.0;100.0;100.0;155.0;102.0;130.0;104.0;120.0;0
141.4213562373095;118.9207115002721;107.17734625362931;229.0;113.0;159.0;174.0;165.0;1
200.0;141.4213562373095;114.86983549970351;322.0;119.0;196.0;222.0;222.0;2
282.842712474619;168.1792830507429;123.11444133449163;453.0;142.0;262.0;337.0;259.0;3
400.0;200.0;131.9507910772894;655.0;156.0;482.0;451.0;400.0;4
565.685424949238;237.8414230005442;141.4213562373095;888.0;194.0;670.0;519.0;500.0;5
800.0;282.842712474619;151.5716566510398;1128.0;244.0;799.0;711.0;673.0;6
1131.370849898476;336.3585661014858;162.4504792712471;1694.0;330.0;1040.0;1109.0;1073.0;7
1600.0;400.0;174.11011265922482;2036.0;396.0;1176.0;1561.0;1695.0;8
2262.741699796952;475.6828460010884;186.60659830736148;2502.0;499.0;1457.0;2157.0;2277.0;9
3200.0;565.685424949238;200.0;3089.0;536.0;1908.0;2870.0;2277.0;10
4525.483399593904;672.7171322029716;214.35469250725862;3858.0;657.0;2078.0;2968.0;5232.0;11
6400.0;800.0;229.73967099940697;4636.0;727.0;3675.0;4360.0;6391.0;12
9050.966799187809;951.3656920021768;246.22888266898326;5883.0;887.0;4585.0;6141.0;7798.0;13
12800.0;1131.370849898476;263.9015821545788;7375.0;987.0;5795.0;8917.0;9942.0;14
18101.933598375617;1345.4342644059432;282.842712474619;9172.0;1024.0;7272.0;14157.0;11748.0;15
25600.0;1600.0;303.14331330207966;10149.0;1251.0;9257.0;19479.0;13910.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;1397.0;12327.0;25825.0;17963.0;17
51200.0;2262.741699796952;348.22022531844965;15113.0;1998.0;15320.0;33761.0;20410.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;2543.0;19848.0;43850.0;25374.0;19
;;;21157.0;2567.0;22213.0;54112.0;28768.0;20
;;;24747.0;3082.0;24873.0;66055.0;35136.0;21
;;;27980.0;3588.0;29056.0;84091.0;39885.0;22
;;;31506.0;4778.0;32986.0;102276.0;49515.0;23
;;;35713.0;5311.0;37323.0;122069.0;57786.0;24
;;;41035.0;5916.0;43938.0;141205.0;65719.0;25
;;;47021.0;6725.0;50871.0;162707.0;73235.0;26
;;;53578.0;7598.0;57695.0;188724.0;80110.0;27
;;;59138.0;8446.0;62095.0;214205.0;87956.0;28
;;;63927.0;9205.0;66885.0;244610.0;95923.0;29
;;;69176.0;10453.0;71808.0;276547.0;104118.0;30
;;;74386.0;11487.0;77872.0;309699.0;112065.0;31
;;;80589.0;12322.0;84794.0;337573.0;119199.0;32
;;;86498.0;13430.0;91159.0;367215.0;126168.0;33
;;;92472.0;14352.0;96092.0;397992.0;131646.0;34
;;;97689.0;15722.0;100123.0;429686.0;136675.0;35
;;;101739.0;17615.0;103374.0;464442.0;141942.0;36
;;;105792.0;18539.0;107663.0;497943.0;148220.0;37
